symbol,Total_Asset,Total_Liabilities,Paid-up,Equity,Revenue,Expenses,EBITDA,EBIT,NetProfit,EPS,OperatingCashFlow,InvestingCashFlow,FinancingCashFlow,NetCashFlow,ReturnOnEquity,ReturnOnAsset,GrossProfitMargin,NetProfitMargin,EBITMargin,DE,Int.Coverage,CurrentRatio,QuickRatio,FixedAssetTurnover,TotalAssetTurnover,InventoryTurnover,AverageSalePeriod,AccountsReceivableTurnover,AverageCollectionPeriod,AccountPayableTurnover,AveragePaymentPeriod,CashCycle
2S,"1,766,506.00","388,841.00","449,999.00","1,379,550.00","5,413,940.00","5,233,808.00","212,118.00","169,895.00","133,382.00",0.3,"333,629.00","-31,320.00","-232,542.00","69,767.00",9.9,9.38,7.53,2.46,3.14,0.28,14.89,3.39,1.37,9.74,2.99,8.39,43.5,15.35,23.78,205.6,1.78,65.49
A5,"1,751,153.80","1,205,497.71","1,123,000.00","534,444.16","513,424.90","445,518.02","70,614.77","67,906.88","43,411.97",0.04,"37,560.92",-125.18,"-104,234.92","-66,799.18",8.55,4,28.01,8.75,13.23,2.21,6.63,2.3,0.07,81.2,0.3,0.31,"1,181.46",23.46,15.56,1.99,183.76,"1,013.25"
ABICO,"1,684,551.09","826,137.43","235,000.00","858,413.66","1,243,841.99","1,078,689.97","181,444.42","105,044.80","57,617.71",0.25,"122,695.33","-187,929.79","59,626.25","-5,608.21",6.9,6.79,16.19,4.63,8.45,0.96,5.22,0.98,0.72,1.57,0.8,8.53,42.77,5.54,65.94,6.26,58.33,50.38
ABM,"714,955.94","501,168.81","150,000.00","224,472.36","1,329,868.15","1,343,148.73","7,284.58","-11,147.08","-15,656.35",-0.05,"-53,703.75","-36,476.24","92,828.50","2,648.51",-6.69,-1.64,20.03,-1.68,-0.84,2.34,-0.88,0.89,0.45,4.81,1.95,7.23,50.47,9.15,39.89,26.31,13.87,76.49
ACAP,"4,315,532.12","3,137,803.78","158,205.58","1,094,193.22","342,894.02","340,802.89","11,048.73","2,091.13","-190,530.20",-0.6,"248,966.89","1,379.54","-158,803.25","91,543.18",-17.41,0.05,7.39,-54.6,0.61,2.66,0.01,0.26,0.05,-,0.08,N/A,-,N/A,-,N/A,-,-
ACG,"1,569,070.84","915,971.97","300,000.00","651,391.80","3,123,724.64","3,027,652.54","127,312.79","96,072.10","52,995.74",0.1,"-137,352.20","-111,912.51","236,388.14","-12,876.58",10.24,6.91,6.43,1.71,3.08,1.4,3.45,0.88,0.33,4.75,2.25,8.2,44.5,23.91,15.27,16.2,22.54,37.23
ADB,"1,253,647.89","672,239.65","300,000.00","581,408.24","1,370,503.29","1,358,546.59","62,224.79","17,514.81","3,263.14",0.01,"111,339.37","-51,800.71","-40,707.02","18,831.64",0.56,1.4,13.44,0.24,1.28,1.16,1.25,1.28,0.8,2.54,1.09,4.17,87.55,3.61,101.24,4.91,74.28,114.51
AF,"2,556,464.78","2,028,086.13","400,000.00","528,378.65","230,605.83","127,080.60","108,478.59","103,525.23","42,158.88",0.03,"18,220.95",-135.91,"-68,056.60","-49,971.57",7.98,4.05,75.6,18.28,44.89,3.84,1.89,1.24,0.03,-,0.09,N/A,-,N/A,-,N/A,-,-
AGE,"4,732,075.08","2,916,459.48","483,446.87","1,814,513.46","6,209,526.66","5,884,629.56","435,019.50","350,634.22","272,787.28",0.14,"730,874.51","-218,876.02","-384,790.81","127,207.68",16.25,7.25,13.02,4.44,5.65,1.61,7.28,1.19,0.55,3.94,1.28,3.61,101.15,4.57,79.86,10.12,36.05,144.96
AIE,"2,326,388.90","643,098.32","1,308,072.98","1,683,290.58","1,997,193.37","2,145,578.68","-61,777.31","-148,385.30","-156,496.22",-0.03,"-227,698.10","-57,652.53","289,851.94","4,501.31",-8.88,-6.9,-3.31,-7.84,-7.43,0.38,-40.04,1.2,0.69,1.34,0.93,7.62,47.91,8.49,43.01,8.82,41.37,49.54
